**Object,**Face,**Slot,"Insert Name","**Insert Template","*Original Insert"
Location.Sub-Location.Pod.Cab1.PanelA,Front,Enc0SlotA1,New_Object_GM3A,6p_LC_OM4,Location.Sub-Location.Pod.Cab1.PanelA.Front.Enc0SlotA1.New_Object_GM3A
Location.Sub-Location.Pod.Cab1.PanelA,Front,Enc0SlotA2,,,
Location.Sub-Location.Pod.Cab1.PanelA,Front,Enc0SlotA3,,,
Location.Sub-Location.Pod.Cab1.PanelA,Front,Enc0SlotA4,,,
Location.Sub-Location.Pod.Cab1.PanelA,Front,Enc0SlotA5,,,
Location.Sub-Location.Pod.Cab1.PanelA,Front,Enc0SlotA6,,,
Location.Sub-Location.Pod.Cab1.PanelA,Front,Enc0SlotA7,,,
Location.Sub-Location.Pod.Cab1.PanelA,Front,Enc0SlotA8,,,
Location.Sub-Location.Pod.Cab1.PanelA,Front,Enc0SlotA9,,,
Location.Sub-Location.Pod.Cab1.PanelA,Front,Enc0SlotA10,,,
Location.Sub-Location.Pod.Cab1.PanelA,Front,Enc0SlotA11,,,
Location.Sub-Location.Pod.Cab1.PanelA,Front,Enc0SlotA12,,,
